red,area,width,density,land,cbd,traffic
1,450,18,0,0,3,2
1,260,14,0,0,3,2
1,295,18,0,0,3,1
2,286,16,1,0,0,2
0,520,14,0,0,3,2
0,220,8,0,1,0,2
0,300,24,0,0,3,2
1,460,9,0,0,3,1
1,380,9,0,1,3,0
0,496,18,0,0,3,2
2,500,24,0,0,0,2
2,500,14,1,1,3,2
2,634,13,1,0,3,1
0,1322,15,0,0,3,2
1,358,7,0,0,0,0
2,450,20,1,1,3,2
0,360,21,2,1,3,2
1,468,10,2,0,1,2
0,300,12,2,1,3,2
0,341,24,2,0,3,2
0,252,15,2,0,3,2
0,263,13,2,0,0,2
2,450,16,1,0,1,1
2,317,12,0,1,3,0
0,560,18,2,0,3,2
2,432,25,0,0,0,1
3,323,18,1,0,3,0
0,325,14,2,0,3,2
1,120,9,0,0,3,0
2,250,13,2,0,0,2
0,315,18,2,1,1,2
1,294,12,2,0,1,2
0,450,26,1,0,1,2
0,460,18,2,0,0,2
0,120,8,2,0,1,2
2,612,12,0,0,1,1
2,155,17,2,0,1,2
0,285,16,2,1,1,2
0,260,6,2,0,1,2
1,472,10,2,0,1,2
2,962,12,0,0,2,1
2,390,12,0,0,1,1
2,130,12,0,0,1,1
0,395,12,2,0,1,2
0,530,18,2,1,1,2
0,263,21,2,0,1,2
2,298,14,0,0,1,0
0,600,27,2,0,1,2
0,325,24,1,0,1,2
2,1755,20,2,2,2,0
1,250,7,0,0,1,0
2,500,19,0,0,3,1
2,520,16,1,0,1,0
0,260,18,1,0,3,2
0,324,14,2,0,4,2
0,338,22,2,0,4,2
2,450,16,0,0,4,0
3,500,18,2,0,4,2
0,405,12,2,0,4,2
0,282,14,2,0,4,2
2,1843,18,2,0,3,0
0,320,13,2,0,4,2
2,255,14,0,1,0,1
0,684,21,2,2,4,2
2,702,16,1,0,0,2
0,520,21,2,0,1,2
2,256,13,0,0,1,0
0,280,14,2,0,2,2
3,580,28,1,0,2,2
1,200,16,1,0,2,2
3,303,17,0,0,2,1
1,650,25,2,0,2,2
2,427,22,0,0,1,1
2,404,13,0,0,2,0
1,284,6,0,0,2,1
3,350,25,0,0,2,1
0,500,16,1,0,3,2
2,380,14,2,0,2,2
1,380,27,2,0,2,2
2,364,15,0,0,3,0
0,375,14,2,2,2,2
1,495,6,0,0,2,1
3,544,24,2,0,2,2
1,350,9,2,0,2,2
2,392,19,0,0,2,1
0,240,18,1,1,2,2
1,80,9,2,0,2,2
2,382,14,2,0,2,2
0,360,28,2,0,2,2
0,213,16,2,0,2,2
3,800,32,2,0,2,0
0,400,13,2,2,2,2
3,230,18,2,0,2,2
2,252,12,1,0,2,0
2,1026,14,0,0,3,1
0,100,6,2,0,2,2
2,595,24,2,1,2,2
0,318,12,2,0,2,2
0,625,18,2,0,2,2
0,454,12,1,0,2,2
2,230,13,0,1,2,1
0,405,12,1,0,2,2
0,333,14,2,0,2,2
1,250,20,1,1,2,2
0,300,22,2,0,2,2
2,290,18,2,0,2,2
3,438,20,0,0,3,0
2,375,12,0,0,2,1
2,550,21,0,0,2,1
0,225,18,2,0,2,2
0,412,14,2,0,0,2
1,439,9,0,0,0,0
0,253,16,2,0,0,2
2,380,14,1,0,0,1
0,380,16,1,0,0,2
0,263,16,2,0,0,2
0,500,20,1,0,0,2
0,506,21,2,0,0,2
0,350,21,2,1,0,2
0,440,14,2,0,0,2
2,544,20,2,0,0,0
2,264,14,2,0,1,2
3,290,21,2,0,1,2
0,450,14,2,2,1,2
2,247,17,0,0,1,0
3,500,22,0,0,1,1
2,320,12,2,0,1,2
2,392,18,2,0,1,2
0,289,10,2,0,1,2
1,280,11,0,0,1,0
2,510,18,2,0,1,2
2,364,21,1,0,1,2
0,450,18,2,1,1,2
3,650,16,1,1,1,2
1,850,9,2,0,1,0
2,252,13,1,1,1,2
0,500,14,2,0,3,2
2,400,12,1,0,1,1
0,320,9,2,0,1,2
1,432,14,1,0,1,2
2,288,15,0,0,1,1
2,396,13,2,0,1,2
1,265,10,2,2,1,2
0,200,35,2,0,1,2
2,250,12,1,1,1,2
2,280,14,2,0,1,2
2,375,14,0,0,1,1
1,240,10,0,0,1,1
0,400,10,2,0,1,2
1,450,30,2,0,1,2
2,500,16,0,1,1,1
0,300,16,1,0,3,2
1,360,25,2,0,1,2
2,290,11,0,0,1,0
3,391,21,1,0,1,1
2,280,12,0,0,1,0
1,371,16,2,0,1,2
1,450,8,0,0,1,0
0,650,20,2,0,0,2
2,220,10,0,0,1,1
3,450,30,1,0,1,2
2,336,15,0,0,3,1
2,325,14,0,0,1,1
0,720,16,2,0,1,2
2,375,21,1,0,1,2
2,567,20,0,0,1,1
0,135,18,1,0,3,2
2,336,16,0,0,1,1
2,480,14,0,0,1,1
0,760,15,2,0,1,2
2,512,12,2,0,1,2
2,375,20,0,0,1,1
2,420,16,0,0,1,1
3,500,24,2,0,1,2
3,552,18,2,1,1,2
2,450,18,2,1,1,2
1,200,14,1,0,1,2
0,280,15,2,0,1,2
2,800,16,2,1,1,2
3,544,16,2,0,3,1
0,389,24,2,1,3,2
1,260,9,2,0,3,2
2,300,14,0,0,3,0
3,264,21,2,0,3,2
2,150,12,2,0,3,2
0,180,6,2,0,3,2
0,155,17,2,0,3,2
0,430,12,2,1,3,2
0,480,19,2,0,3,2
3,450,18,0,0,3,1
2,392,16,2,0,3,2
0,260,18,2,0,3,2
2,378,14,0,0,3,1
0,304,15,2,0,3,2
3,660,24,2,2,3,2
2,200,15,1,0,3,1
2,300,20,2,0,4,2
2,220,14,0,0,4,1
2,360,12,1,0,4,2
2,733,10,2,0,3,2
0,164,16,1,0,4,2
0,432,16,1,0,4,2
1,600,9,0,0,3,0
2,374,18,0,0,4,1
2,264,16,1,0,4,2
2,150,15,0,0,4,0
3,530,22,0,1,4,0
0,500,14,1,0,4,2
2,448,18,1,0,4,1
0,216,12,2,0,4,2
3,260,25,1,0,4,2
0,260,8,2,0,4,2
1,300,14,2,0,4,2
2,371,13,1,0,4,1
0,320,21,1,0,4,2
2,220,13,0,1,4,1
0,700,8,2,0,3,2
0,448,17,2,1,3,2
3,340,22,0,0,4,0
2,621,11,0,0,4,0
2,340,12,2,0,4,2
2,500,15,2,1,4,2
